Operado,Operacion,Especie,Cantidad,Precio,Importe,mep,Precio_usd,Inversion_usd,Ticker,tipo,Posicion_Acum,Es_Cierre,ID_Trade,Estado_Trade,Posicion_Acum_Redondeada,Estado_Trade_Corregido,Precio_Actual_ARS,Precio_Actual_USD,Valor_Actual_USD_Fila
2024-10-04,Compra,ACC.ORD. LOMA NEGRA S.A. 1 VOTO $ ESC.,50.0,2040.66,-102033.18,1187.52,1.72,86.0,LOMA,Acción Arg,110.0,False,1,Cerrado,110.0,Cerrado,3152.5,2.199607873235604,241.95686605591646
2025-05-20,Venta,ACC.ORD. LOMA NEGRA S.A. 1 VOTO $ ESC.,-110.0,3056.47,336211.71,1153.33,2.65,-291.5,LOMA,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,3152.5,2.199607873235604,0.0
2024-11-22,Compra,"LONGVIE ""B""",1007.0,41.916,-42209.74,1080.4,0.04,40.28,LONG,Acción Arg,1007.0,False,1,Abierto,1007.0,Abierto,17.5,0.012210352983861401,12.295825454748432
2025-01-17,Compra,"LONGVIE ""B""",3000.0,32.39,-97169.67,1165.84,0.03,90.0,LONG,Acción Arg,4007.0,False,1,Abierto,4007.0,Abierto,17.5,0.012210352983861401,48.92688440633263
2024-01-31,Compra,METRO GAS,88.0,1148.19,-101040.42,1175.67,0.98,86.24,METR,Acción Arg,88.0,False,1,Cerrado,88.0,Cerrado,2008.0,1.4010507880910683,123.29246935201401
2024-09-16,Venta,METRO GAS,-88.0,1226.58,107938.77,1217.53,1.01,-88.88,METR,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,2008.0,1.4010507880910683,0.0
2023-08-02,Compra,MIRGOR,4.0,9154.91,-36619.63,512.54,17.86,71.44,MIRG,Acción Arg,4.0,False,1,Cerrado,4.0,Cerrado,18625.0,12.995304247109635,51.98121698843854
2023-08-07,Compra,MIRGOR,4.0,8997.47,-35989.89,516.7,17.41,69.64,MIRG,Acción Arg,8.0,False,1,Cerrado,8.0,Cerrado,18625.0,12.995304247109635,103.96243397687708
2023-08-18,Compra,MIRGOR,4.0,9251.42,-37005.69,657.48,14.07,56.28,MIRG,Acción Arg,12.0,False,1,Cerrado,12.0,Cerrado,18625.0,12.995304247109635,155.9436509653156
2023-08-29,Compra,MIRGOR,4.0,10012.79,-40051.15,671.02,14.92,59.68,MIRG,Acción Arg,16.0,False,1,Cerrado,16.0,Cerrado,18625.0,12.995304247109635,207.92486795375416
2023-12-06,Compra,MIRGOR,12.4,10761.48,-133442.34,936.93,11.49,142.48,MIRG,Acción Arg,28.4,False,1,Cerrado,28.4,Cerrado,18625.0,12.995304247109635,369.0666406179136
2024-10-22,Venta,MIRGOR,-28.0,21539.89,603116.84,1161.97,18.54,-519.12,MIRG,Acción Arg,0.3999999999999986,False,1,Cerrado,0.4,Cerrado,18625.0,12.995304247109635,5.198121698843854
2025-10-30,Venta,MIRGOR,-0.4,20400.5,8160.2,1470.6,13.87,-5.55,MIRG,Acción Arg,-1.4432899320127035e-15,True,1,Cerrado,-0.0,Cerrado,18625.0,12.995304247109635,-0.0
2024-01-31,Compra,MOLINOS AGRO S.A.,8.0,24568.18,-196545.47,1175.67,20.9,167.2,MOLA,Acción Arg,8.0,False,1,Cerrado,8.0,Cerrado,25750.0,17.96666224768178,143.73329798145423
2024-03-05,Venta,MOLINOS AGRO S.A.,-8.0,18647.96,149183.66,1016.08,18.35,-146.8,MOLA,Acción Arg,0.0,True,1,Cerrado,0.0,Cerrado,25750.0,17.96666224768178,0.0
