Operado;Operación;Especie;Cantidad;Precio;Importe;mep;Precio_usd;Inversion_usd;Ticker;Empresa;Ratio;tipo
2026-01-29;VTAS;CEDEAR SATELLOGIC INC;-20.0;7959.19;159183.84;1458.88;5.46;-109.2;SATL;Satellogic Inc.;1.0;accion
2026-01-29;VTAS;CEDEAR SNOWFLAKE INC;-22.0;9976.25;219477.58;1458.88;6.84;-150.48;SNOW;Snowflake Inc.;30.0;accion
2026-01-21;VTAS;TVPY CUPON VALOR NEG VINC PBI;-4290.0;5291.52;227006.2;1463.7;3.62;-15529.8;;;;bonos
2026-01-21;PAGO;;;;-230000.0;1463.7;;;;;;bonos
2026-01-16;PAGO;;;;-30000.0;1472.15;;;;;;bonos
2026-01-16;DIV;CEDEAR U.S.BANCO;;;;1472.15;;;USB;U.S. Bancorp;5.0;accion
2026-01-16;VTAS;BONO REP ARG AJ CER V30/06/26 $ CG;-10000.0;327.076;32707.58;1472.15;0.22;-2200.0;;;;bonos
2026-01-15;DIV;CEDEAR VALE S.A.;;;;1473.83;;;VALE;Vale S.A.;2.0;accion
2026-01-15;DIV;ALUAR ALUMINIO ARG.ORD 1 V;;;1702.0;1473.83;;;;;;bonos
2026-01-15;DECU;;;;-1697.61;1473.83;;;;;;bonos
2026-01-13;DIV;CEDEAR BANCO BRADESCO SA;;;;1487.11;;;BBD;Banco Bradesco S.A.;1.0;accion
2026-01-12;RTA;BONOS REP. ARG. U$S STEP UP V.09/07/41;;;;1487.89;;;;;;bonos
2026-01-12;RTA;BONOS REP. ARG. U$S STEP UP V.09/01/38;;;;1487.89;;;;;;bonos
2026-01-09;DIV;CEDEAR SALESFORCE.COM, INC;;;;1489.42;;;CRM;Salesforce Inc.;18.0;accion
2026-01-09;PAGO;;;;-210000.0;1489.42;;;;;;bonos
2026-01-08;VTAS;BONO REP ARG AJ CER V30/06/26 $ CG;-6000.0;326.826;19609.58;1494.11;0.22;-1320.0;;;;bonos
2026-01-08;VTAS;TVPY CUPON VALOR NEG VINC PBI;-1000.0;4392.96;43929.6;1494.11;2.94;-2940.0;;;;bonos
2026-01-08;VTAS;VALORES NEGOCIABLES VINC AL PBI USD 2035;-6905.0;2136.58;147530.57;1494.11;1.43;-9874.15;;;;bonos
2026-01-06;VTU$;BONOS REP. ARG. U$S STEP UP V.09/07/41;-45.0;;-78.08;1498.06;;;;;;bonos
2026-01-06;CPRA;BONOS REP. ARG. U$S STEP UP V.09/07/41;45.0;108813.82;-48966.22;1498.06;72.64;3268.8;;;;bonos
2026-01-05;DIV;CEDEAR INVESCO QQQ TRUST;;;;1501.49;;;QQQ;INVESCO QQQ TRUST;20.0;accion
2026-01-05;DIV;CEDEAR NIKE INC;;;;1501.49;;;NKE;Nike Inc.;12.0;accion
2026-01-02;RTA;BONOS REP ARG CUASI PAR $ 3,31% 2045;;;18046.98;1506.21;;;;;;bonos
2026-01-02;RTA;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;;;22744.8;1506.21;;;;;;bonos
2026-01-02;RTA;BONOS REP ARG C/DESCUENTO $ 5,83% 2033;;;11271.18;1506.21;;;;;;bonos
2025-12-24;DIV;CEDEAR FACEBOOK, INC.;;;;1481.63;;;META;Meta Platforms Inc;24.0;accion
2025-12-22;NOCR;;;;91.6;1493.06;;;;;;bonos
2025-12-19;DIV;CEDEAR XP INC.;;;;1494.62;;;XP;XP Inc;4.0;accion
2025-12-17;DIV;CEDEAR UNITEDHEALTH GROUP INC;;;;1514.14;;;UNH;UnitedHealth Group Inc.;33.0;accion
2025-12-16;DIV;CEDEAR GOOGLE INC.;;;;1504.3;;;GOOGL;Alphabet Inc.;58.0;accion
2025-12-12;DIV;CEDEAR MICROSOFT CORP.;;;;1478.73;;;MSFT;Microsoft Corp.;30.0;accion
2025-12-10;DIV;CEDEAR BANCO BRADESCO SA;;;;1471.35;;;BBD;Banco Bradesco S.A.;1.0;accion
