Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
12/11/2025;11/11/2025;VTAS;1.508.757;BONO PCIA BS AS REGS NEW U$S 2037 B;-400;101.413,50;-644,59;
01/10/2025;30/09/2025;VTAS;1.254.426;BONO PCIA BS AS REGS NEW U$S 2037 B;-100;75.357,36;-111,37;
28/04/2025;25/04/2025;CPRA;475.929;BONO PCIA BS AS REGS NEW U$S 2037 B;318;70.612,80;-224.548,71;
18/10/2024;17/10/2024;VTAS;843.773;BONO PCIA BS AS REGS NEW U$S 2037 B;-500;57.304,00;-395,59;
23/09/2024;20/09/2024;CPRA;749.407;BONO PCIA BS AS REGS NEW U$S 2037 B;400;51.420,00;-269,98;
20/09/2024;19/09/2024;CPRA;744.557;BONO PCIA BS AS REGS NEW U$S 2037 B;330;51.514,00;-222,95;
06/08/2024;05/08/2024;CPRA;583.181;BONO PCIA BS AS REGS NEW U$S 2037 B;360;53.826,54;-219,69;
