Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
13/11/2024;12/11/2024;CPRA;943.532;BONO REP ARG AJ CER V30/06/28 $ CG;30.000,00;179,286;-53.785,92;
08/11/2024;07/11/2024;CPRA;925.097;BONO REP ARG AJ CER V30/06/28 $ CG;34.000,00;170,873;-58.096,81;
