Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
16/10/2024;15/10/2024;CPRA;832.370;BONOS REP ARG CUASI PAR $ 3,31% 2045;500;20.062,05;-100.310,25;
09/10/2024;08/10/2024;CPRA;809.594;BONOS REP ARG CUASI PAR $ 3,31% 2045;410;20.182,24;-82.747,18;
14/08/2024;13/08/2024;CPRA;612.382;BONOS REP ARG CUASI PAR $ 3,31% 2045;550;18.128,96;-99.709,29;
18/06/2024;14/06/2024;CPRA;436.134;BONOS REP ARG CUASI PAR $ 3,31% 2045;250;19.921,82;-49.804,56;
11/05/2023;09/05/2023;VTAS;86.300;BONOS REP ARG CUASI PAR $ 3,31% 2045;-1.500,00;3.557,97;53.369,47;
10/03/2023;08/03/2023;CPRA;43.152;BONOS REP ARG CUASI PAR $ 3,31% 2045;1.500,00;3.595,75;-53.936,17;
