Liquida;Operado;Operación;N° Ope.;Especie;Cantidad;Precio;Importe;Referencia
19/11/2024;15/11/2024;CPRA;962.770;BONO TESORO NACIONAL V31/03/26 $ CG;70.000,00;131,911;-92.337,51;
15/11/2024;14/11/2024;CPRA;955.497;BONO TESORO NACIONAL V31/03/26 $ CG;86.263,00;131,76;-113.660,55;
